Tree	MatchingSplit	MatchingSplit_toYuleAvg	MatchingSplit_toUnifAvg
776	2.0000	1.4184	1.4514
777	0.0000	0.0000	0.0000
778	2.0000	1.4184	1.4514
779	2.0000	1.4184	1.4514
780	2.0000	1.4184	1.4514
781	2.0000	1.4184	1.4514
782	2.0000	1.4184	1.4514
783	2.0000	1.4184	1.4514
784	0.0000	0.0000	0.0000
785	2.0000	1.4184	1.4514
786	0.0000	0.0000	0.0000
787	2.0000	1.4184	1.4514
788	2.0000	1.4184	1.4514
789	2.0000	1.4184	1.4514
790	2.0000	1.4184	1.4514
791	0.0000	0.0000	0.0000
792	0.0000	0.0000	0.0000
793	0.0000	0.0000	0.0000
794	0.0000	0.0000	0.0000
795	2.0000	1.4184	1.4514
796	2.0000	1.4184	1.4514
797	2.0000	1.4184	1.4514
798	2.0000	1.4184	1.4514
799	2.0000	1.4184	1.4514
800	2.0000	1.4184	1.4514
801	2.0000	1.4184	1.4514
802	2.0000	1.4184	1.4514
803	0.0000	0.0000	0.0000
804	2.0000	1.4184	1.4514
805	2.0000	1.4184	1.4514
806	0.0000	0.0000	0.0000
807	2.0000	1.4184	1.4514
808	2.0000	1.4184	1.4514
809	0.0000	0.0000	0.0000
810	2.0000	1.4184	1.4514
